feature,gain,label
KDIGO_num,0.026195832,KDIGO_num
PRDX3.8358-30,0.01957393,PRDX3
PPFIA1.13975-56,0.01946894,PPFIA1
DLX4.11910-27,0.018491229,DLX4
NPLOC4.12993-21,0.016994782,NPLOC4
MYL3.18376-19,0.01596479,MYL3
THBS1.3474-19,0.015734255,THBS1
HAVCR1.9021-1,0.015245418,HAVCR1
EEF1A1.25256-23,0.014305547,EEF1A1
PDIA3.7832-181,0.012975693,PDIA3
CRP.4337-49,0.012745725,CRP
HDHD2.13472-35,0.012628029,HDHD2
GRIPAP1.24432-3,0.012395721,GRIPAP1
SAA2.18832-65,0.011509887,SAA2
LYN.3381-24,0.011085839,LYN
Baseline_eGFR,0.011021557,Baseline_eGFR
MARS1.24425-8,0.010981135,MARS1
LEP.2575-5,0.0103578055,LEP
GSTK1.13474-40,0.010281747,GSTK1
PGD.4187-49,0.010253422,PGD
