feature,gain,label
CKM|CKB.3714-49,0.14284611,CKM|CKB
HAMP.3504-58,0.13433523,HAMP
LILRA6.7059-14,0.075096354,LILRA6
PRKCB.5475-10,0.04890681,PRKCB
SLC5A5.12826-5,0.045434818,SLC5A5
IGHD|IGL|IGK.4916-2,0.043312285,IGHD|IGL|IGK
SAA1.15515-2,0.03883703,SAA1
ABO.9253-52,0.038137216,ABO
NTS.7857-22,0.029597446,NTS
EMILIN3.9991-112,0.027829755,EMILIN3
Baseline_eGFR,0.026919544,Baseline_eGFR
PF4.2697-7,0.026402755,PF4
REG1B.23018-4,0.019057646,REG1B
RNASE1.7211-2,0.018834848,RNASE1
HP.7905-30,0.015998451,HP
SAA1.4336-2,0.015867926,SAA1
HAVCR1.9021-1,0.015841095,HAVCR1
CRH.19637-9,0.015353511,CRH
IGSF11.10700-10,0.012635844,IGSF11
REN.3396-54,0.012510503,REN
